uniprot	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches	CBM2
A0A066TVE3	unreviewed	Alpha-L-arabinofuranosidase	287986	Amycolatopsis rifamycinica	665	IPR001919	561..665	561-665
A0A066TVE6	unreviewed	CBM2 domain-containing protein	287986	Amycolatopsis rifamycinica	913	IPR001919	803..913	803-913
A0A066TW39	unreviewed	non-specific serine/threonine protein kinase	287986	Amycolatopsis rifamycinica	446	IPR001919	340..445	340-445
A0A066TXL2	unreviewed	Chitinase	287986	Amycolatopsis rifamycinica	449	IPR001919	26..135	26-135
A0A066TY82	unreviewed	CBM2 domain-containing protein	287986	Amycolatopsis rifamycinica	667	IPR001919	30..139	30-139
A0A066TYR7	unreviewed	Endoglucanase	287986	Amycolatopsis rifamycinica	535	IPR001919	428..535	428-535
A0A066TZ78	unreviewed	Glucanase	287986	Amycolatopsis rifamycinica	450	IPR001919	343..450	343-450
A0A066TZE7	unreviewed	Endoglucanase	287986	Amycolatopsis rifamycinica	473	IPR001919	27..137	27-137
A0A066TZF1	unreviewed	CBM2 domain-containing protein	287986	Amycolatopsis rifamycinica	436	IPR001919	333..436	333-436
A0A066U0E0	unreviewed	Endoglucanase	287986	Amycolatopsis rifamycinica	478	IPR001919	6..115	6-115
A0A066U0H1	unreviewed	Endoglucanase	287986	Amycolatopsis rifamycinica	525	IPR001919	417..525	417-525
A0A066U1H4	unreviewed	Glucanase	287986	Amycolatopsis rifamycinica	607	IPR001919	36..144	36-144
A0A066U373	unreviewed	CBM2 domain-containing protein	287986	Amycolatopsis rifamycinica	625	IPR001919	523..625	523-625
A0A066U3Z1	unreviewed	CBM2 domain-containing protein	287986	Amycolatopsis rifamycinica	370	IPR001919	266..370	266-370
A0A066U4S9	unreviewed	Endoglucanase	287986	Amycolatopsis rifamycinica	948	IPR001919	841..948	841-948
A0A066U4U0	unreviewed	CBM2 domain-containing protein	287986	Amycolatopsis rifamycinica	533	IPR001919	433..533	433-533
A0A066U4Z7	unreviewed	cellulase	287986	Amycolatopsis rifamycinica	754	IPR001919	642..754	642-754
A0A066U504	unreviewed	CBM2 domain-containing protein	287986	Amycolatopsis rifamycinica	972	IPR001919	31..139	31-139
A0A066U7H1	unreviewed	Beta-xylanase	287986	Amycolatopsis rifamycinica	467	IPR001919	367..467	367-467
A0A066U7L0	unreviewed	CBM2 domain-containing protein	287986	Amycolatopsis rifamycinica	97	IPR001919	1..97	1-97
A0A066U7S3	unreviewed	CBM2 domain-containing protein	287986	Amycolatopsis rifamycinica	333	IPR001919	230..333	230-333
A0A066UDD4	unreviewed	non-specific serine/threonine protein kinase	287986	Amycolatopsis rifamycinica	451	IPR001919	345..451	345-451
A0A066UDW3	unreviewed	CBM2 domain-containing protein	287986	Amycolatopsis rifamycinica	144	IPR001919	34..144	34-144
A0A066UJC4	unreviewed	Beta-xylanase	287986	Amycolatopsis rifamycinica	754	IPR001919	661..754	661-754
A0A066YJE6	unreviewed	Glucanase	1348663	Kitasatospora cheerisanensis KCTC 2395	749	IPR001919	645..748	645-748
A0A066YLG4	unreviewed	Glucanase	1348663	Kitasatospora cheerisanensis KCTC 2395	488	IPR001919	379..488	379-488
A0A066YMI9	unreviewed	CBM2 domain-containing protein	1348663	Kitasatospora cheerisanensis KCTC 2395	213	IPR001919	34..142	34-142
A0A066YQQ6	unreviewed	Endo-1,4-beta-xylanase	1348663	Kitasatospora cheerisanensis KCTC 2395	375	IPR001919	283..375	283-375
A0A066YTW7	unreviewed	Endoglucanase	1348663	Kitasatospora cheerisanensis KCTC 2395	192	IPR001919	86..192	86-192
A0A066YVG7	unreviewed	CBM2 domain-containing protein	1348663	Kitasatospora cheerisanensis KCTC 2395	389	IPR001919	278..387	278-387
A0A066YW87	unreviewed	CBM2 domain-containing protein	1348663	Kitasatospora cheerisanensis KCTC 2395	371	IPR001919	266..371	266-371
A0A066YX45	unreviewed	CBM2 domain-containing protein	1348663	Kitasatospora cheerisanensis KCTC 2395	969	IPR001919	30..140	30-140
A0A066YZR6	unreviewed	Endoglucanase	1348663	Kitasatospora cheerisanensis KCTC 2395	556	IPR001919	445..556	445-556
A0A066YZV3	unreviewed	Beta-xylanase	1348663	Kitasatospora cheerisanensis KCTC 2395	485	IPR001919	376..485	376-485
A0A066Z2M2	unreviewed	chitinase	1348663	Kitasatospora cheerisanensis KCTC 2395	760	IPR001919	31..141	31-141
A0A066Z5I6	unreviewed	Endoglucanase	1348663	Kitasatospora cheerisanensis KCTC 2395	829	IPR001919	721..829	721-829
A0A066ZAS6	unreviewed	CBM2 domain-containing protein	1348663	Kitasatospora cheerisanensis KCTC 2395	294	IPR001919	182..292	182-292
A0A068CD09	unreviewed	Endoglucanase	2021	Thermobifida fusca	453	IPR001919	352..453	352-453
A0A068MRY2	unreviewed	Endoglucanase	1147	Synechocystis sp. (strain PCC 6714)	1063	IPR001919	3..120,420..548	3-120+420-548
A0A073JYG8	unreviewed	chitinase	574376	Bacillus manliponensis	676	IPR001919	574..676	574-676
A0A073KCW8	unreviewed	chitinase	574375	Bacillus gaemokensis	674	IPR001919	572..674	572-674
A0A075R595	unreviewed	chitinase	1042163	Brevibacillus laterosporus LMG 15441	649	IPR001919	538..648	538-648
A0A075UJN7	unreviewed	CBM2 domain-containing protein	208439	Amycolatopsis japonica	456	IPR001919	27..136	27-136
A0A075UN32	unreviewed	chitinase	208439	Amycolatopsis japonica	545	IPR001919	26..135	26-135
A0A075UQM6	unreviewed	CBM2 domain-containing protein	208439	Amycolatopsis japonica	482	IPR001919	26..133	26-133
A0A075UVQ2	unreviewed	CBM2 domain-containing protein	208439	Amycolatopsis japonica	774	IPR001919	666..773	666-773
A0A075UXA8	unreviewed	chitinase	208439	Amycolatopsis japonica	751	IPR001919	23..133	23-133
A0A075UXT1	unreviewed	non-specific serine/threonine protein kinase	208439	Amycolatopsis japonica	433	IPR001919	328..433	328-433
A0A076H6W3	unreviewed	chitinase	1280380	Synechococcus sp. KORDI-100	1099	IPR001919	1..97,441..554	1-97+441-554
A0A076HB65	unreviewed	chitinase	585423	Synechococcus sp. KORDI-49	965	IPR001919	326..448	326-448
A0A076HER4	unreviewed	chitinase	585425	Synechococcus sp. KORDI-52	1048	IPR001919	1..105,415..528	1-105+415-528
A0A077JIM9	unreviewed	Endoglucanase	67274	Streptomyces argenteolus	459	IPR001919	27..137	27-137
A0A078KM01	unreviewed	Uncharacterized protein	29343	[Clostridium] cellulosi	1138	IPR001919	33..141,138..240	33-141+138-240
A0A081HXE9	unreviewed	CBM2 domain-containing protein	1324269	Mycobacterium sp. TKK-01-0059	142	IPR001919	33..142	33-142
A0A081XPK8	unreviewed	chitinase	55952	Streptomyces toyocaensis	608	IPR001919	27..134	27-134
A0A081XXT8	unreviewed	CBM2 domain-containing protein	55952	Streptomyces toyocaensis	356	IPR001919	250..356	250-356
A0A081XXT9	unreviewed	CBM2 domain-containing protein	55952	Streptomyces toyocaensis	378	IPR001919	269..378	269-378
A0A081XYD4	unreviewed	CBM2 domain-containing protein	55952	Streptomyces toyocaensis	500	IPR001919	392..500	392-500
A0A081XZ62	unreviewed	CBM2 domain-containing protein	55952	Streptomyces toyocaensis	971	IPR001919	36..145	36-145
A0A081XZ63	unreviewed	Glucanase	55952	Streptomyces toyocaensis	574	IPR001919	30..139	30-139
A0A081XZT6	unreviewed	Endo-1,4-beta-xylanase	55952	Streptomyces toyocaensis	330	IPR001919	238..330	238-330
A0A081XZT7	unreviewed	Polysaccharide deacetylase	55952	Streptomyces toyocaensis	334	IPR001919	242..334	242-334
A0A081Y021	unreviewed	Endoglucanase	55952	Streptomyces toyocaensis	718	IPR001919	610..718	610-718
A0A085W732	unreviewed	chitinase	394096	Hyalangium minutum	642	IPR001919	29..137	29-137
A0A086MSW4	unreviewed	Endoglucanase	67332	Streptomyces mutabilis	554	IPR001919	446..554	446-554
A0A086MT44	unreviewed	Beta-xylanase	67332	Streptomyces mutabilis	448	IPR001919	345..448	345-448
A0A086MUY6	unreviewed	Glucanase	67332	Streptomyces mutabilis	578	IPR001919	30..139	30-139
A0A086MUY7	unreviewed	CBM2 domain-containing protein	67332	Streptomyces mutabilis	973	IPR001919	37..146	37-146
A0A086MUY8	unreviewed	CBM2 domain-containing protein	67332	Streptomyces mutabilis	884	IPR001919	774..884	774-884
A0A086MXP9	unreviewed	chitinase	67332	Streptomyces mutabilis	607	IPR001919	27..134	27-134
A0A086N2G9	unreviewed	CBM2 domain-containing protein	67332	Streptomyces mutabilis	496	IPR001919	386..495	386-495
A0A086N3T9	unreviewed	Endo-1,4-beta-xylanase	67332	Streptomyces mutabilis	327	IPR001919	235..327	235-327
A0A086N3U0	unreviewed	Polysaccharide deacetylase	67332	Streptomyces mutabilis	328	IPR001919	236..328	236-328
A0A086N6M5	unreviewed	CBM2 domain-containing protein	67332	Streptomyces mutabilis	364	IPR001919	258..364	258-364
A0A086N6M6	unreviewed	CBM2 domain-containing protein	67332	Streptomyces mutabilis	378	IPR001919	269..378	269-378
A0A087E4W9	unreviewed	cellulase	79262	Bifidobacterium thermacidophilum subsp. thermacidophilum	726	IPR001919	451..562,622..726	451-562+622-726
A0A087K0A4	unreviewed	chitinase	1525753	Streptomyces sp. JS01	621	IPR001919	42..151	42-151
A0A087KFU1	unreviewed	chitinase	1525753	Streptomyces sp. JS01	623	IPR001919	44..151	44-151
A0A089WY98	unreviewed	Cellulase	1907	Streptomyces glaucescens	711	IPR001919	598..711	598-711
A0A089X2S1	unreviewed	Beta-xylanase	1907	Streptomyces glaucescens	452	IPR001919	347..452	347-452
A0A089X5S9	unreviewed	CBM2 domain-containing protein	1907	Streptomyces glaucescens	518	IPR001919	408..517	408-517
A0A089X9D6	unreviewed	chitinase	1907	Streptomyces glaucescens	613	IPR001919	30..137	30-137
A0A089XB82	unreviewed	CBM2 domain-containing protein	1907	Streptomyces glaucescens	520	IPR001919	412..520	412-520
A0A089XBC4	unreviewed	CBM2 domain-containing protein	1907	Streptomyces glaucescens	377	IPR001919	267..377	267-377
A0A089XBW8	unreviewed	CBM2 domain-containing protein	1907	Streptomyces glaucescens	888	IPR001919	778..888	778-888
A0A089XC99	unreviewed	Endoglucanase	1907	Streptomyces glaucescens	540	IPR001919	431..540	431-540
A0A089XCR0	unreviewed	Endoglucanase	1907	Streptomyces glaucescens	559	IPR001919	449..559	449-559
A0A089XDC7	unreviewed	beta-glucosidase	1907	Streptomyces glaucescens	754	IPR001919	653..754	653-754
A0A089XDP3	unreviewed	Endoglucanase	1907	Streptomyces glaucescens	462	IPR001919	24..134	24-134
A0A089XDP9	unreviewed	Beta-xylanase	1907	Streptomyces glaucescens	452	IPR001919	351..452	351-452
A0A089XDX7	unreviewed	CBM2 domain-containing protein	1907	Streptomyces glaucescens	971	IPR001919	35..144	35-144
A0A089XH64	unreviewed	Endoglucanase	1907	Streptomyces glaucescens	795	IPR001919	688..795	688-795
A0A089XJU7	unreviewed	Glucanase	1907	Streptomyces glaucescens	575	IPR001919	32..141	32-141
A0A089YT62	unreviewed	CBM2 domain-containing protein	1907	Streptomyces glaucescens	443	IPR001919	334..443	334-443
A0A089YY12	unreviewed	Sugar hydrolase	1907	Streptomyces glaucescens	487	IPR001919	33..141	33-141
A0A089Z658	unreviewed	CBM2 domain-containing protein	1907	Streptomyces glaucescens	366	IPR001919	260..366	260-366
A0A090YRF3	unreviewed	chitinase	2338372	Bacillus clarus	674	IPR001919	572..674	572-674
A0A097CRI5	unreviewed	Cellulose-binding family ii	1410949	Verrucosispora sp. MS100047	677	IPR001919	566..677	566-677
A0A097CSR3	unreviewed	Endoglucanase	1410949	Verrucosispora sp. MS100047	870	IPR001919	757..870	757-870
A0A097CST2	unreviewed	Glucanase	1410949	Verrucosispora sp. MS100047	473	IPR001919	366..473	366-473
A0A097CT15	unreviewed	CBM2 domain-containing protein	1410949	Verrucosispora sp. MS100047	557	IPR001919	19..128	19-128
A0A097CT49	unreviewed	Beta-xylanase	1410949	Verrucosispora sp. MS100047	1124	IPR001919	1045..1121	1045-1121
A0A097CTD0	unreviewed	Beta-xylanase	1410949	Verrucosispora sp. MS100047	430	IPR001919	335..430	335-430
A0A097CTF5	unreviewed	CBM2 domain-containing protein	1410949	Verrucosispora sp. MS100047	693	IPR001919	590..693	590-693
A0A097GSM2	unreviewed	Beta-xylanase	178566	Streptomyces mexicanus	449	IPR001919	344..449	344-449
A0A098B780	unreviewed	CBM2 domain-containing protein	49338	Desulfitobacterium hafniense	313	IPR001919	184..304	184-304
A0A098Q2W8	unreviewed	Endoglucanase	325777	Xanthomonas axonopodis pv. vasculorum	482	IPR001919	395..482	395-482
A0A099J0W1	unreviewed	CBM2 domain-containing protein	1001240	Cryobacterium roopkundense	83	IPR001919	19..83	19-83
A0A099S0I0	unreviewed	CBM2 domain-containing protein	1487923	Desulfosporosinus sp. HMP52	319	IPR001919	183..304	183-304
A0A0A0B3Z6	unreviewed	Exoglucanase	1408250	Cellulomonas cellasea DSM 20118	974	IPR001919	866..974	866-974
A0A0A0B3Z7	unreviewed	chitinase	1408250	Cellulomonas cellasea DSM 20118	542	IPR001919	30..137	30-137
A0A0A0B4D5	unreviewed	endo-1,4-beta-xylanase	1408250	Cellulomonas cellasea DSM 20118	652	IPR001919	252..339,565..652	252-339+565-652
A0A0A0B4P3	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	425	IPR001919	32..139	32-139
A0A0A0B4Q4	unreviewed	beta-glucosidase	1408250	Cellulomonas cellasea DSM 20118	841	IPR001919	737..841	737-841
A0A0A0B5I2	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	406	IPR001919	306..406	306-406
A0A0A0B5Q9	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	373	IPR001919	273..373	273-373
A0A0A0B705	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	378	IPR001919	275..378	275-378
A0A0A0B775	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	424	IPR001919	325..424	325-424
A0A0A0B7Q2	unreviewed	Beta-xylanase	1408250	Cellulomonas cellasea DSM 20118	365	IPR001919	262..365	262-365
A0A0A0B7T8	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	359	IPR001919	256..359	256-359
A0A0A0B847	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	553	IPR001919	453..553	453-553
A0A0A0B852	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	915	IPR001919	806..915	806-915
A0A0A0B8H8	unreviewed	Glucanase	1408250	Cellulomonas cellasea DSM 20118	771	IPR001919	662..771	662-771
A0A0A0B940	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	454	IPR001919	347..454	347-454
A0A0A0B9J7	unreviewed	Endoglucanase	1408250	Cellulomonas cellasea DSM 20118	540	IPR001919	18..127	18-127
A0A0A0B9K7	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	342	IPR001919	247..342	247-342
A0A0A0B9M5	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	726	IPR001919	5..115	5-115
A0A0A0B9M6	unreviewed	cellulase	1408250	Cellulomonas cellasea DSM 20118	738	IPR001919	629..738	629-738
A0A0A0BA00	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	368	IPR001919	261..368	261-368
A0A0A0BAF5	unreviewed	Endoglucanase	1408250	Cellulomonas cellasea DSM 20118	916	IPR001919	809..916	809-916
A0A0A0BAG7	unreviewed	Fibronectin type-III domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	261	IPR001919	154..261	154-261
A0A0A0BAG9	unreviewed	Glucanase	1408250	Cellulomonas cellasea DSM 20118	444	IPR001919	19..128	19-128
A0A0A0BB98	unreviewed	Endoglucanase	1408250	Cellulomonas cellasea DSM 20118	985	IPR001919	876..985	876-985
A0A0A0BBM6	unreviewed	CBM2 domain-containing protein	1408250	Cellulomonas cellasea DSM 20118	355	IPR001919	261..355	261-355
A0A0A0BCP1	unreviewed	Endoglucanase	1408250	Cellulomonas cellasea DSM 20118	500	IPR001919	28..137	28-137
A0A0A0BLU8	unreviewed	Beta-xylanase	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	466	IPR001919	365..466	365-466
A0A0A0BN18	unreviewed	CBM2 domain-containing protein	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	221	IPR001919	24..115,130..221	24-115+130-221
A0A0A0BS06	unreviewed	Endo-1,4-beta-xylanase	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	169	IPR001919	78..169	78-169
A0A0A0BTZ5	unreviewed	CBM2 domain-containing protein	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	883	IPR001919	774..883	774-883
A0A0A0BUA0	unreviewed	CBM2 domain-containing protein	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	372	IPR001919	278..372	278-372
A0A0A0BWW7	unreviewed	CBM2 domain-containing protein	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	80	IPR001919	1..80	1-80
A0A0A0BWX6	unreviewed	Beta-xylanase	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	486	IPR001919	385..486	385-486
A0A0A0BY38	unreviewed	CBM2 domain-containing protein	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	366	IPR001919	266..366	266-366
A0A0A0BYA2	unreviewed	Endoglucanase	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	456	IPR001919	355..456	355-456
A0A0A0BYD3	unreviewed	CBM2 domain-containing protein	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	352	IPR001919	258..352	258-352
A0A0A0C0A5	unreviewed	CBM2 domain-containing protein	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	699	IPR001919	597..699	597-699
A0A0A0C0C3	unreviewed	Endoglucanase	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	800	IPR001919	699..800	699-800
A0A0A0C0G5	unreviewed	CBM2 domain-containing protein	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987	384	IPR001919	285..384	285-384
A0A0A0DP45	unreviewed	CBM2 domain-containing protein	1538295	Aquabacterium sp. NJ1	292	IPR001919	177..290	177-290
A0A0A0N8F8	unreviewed	Beta-xylanase	1343740	Streptomyces rapamycinicus (strain ATCC 29253 / DSM 41530 / NRRL 5491 / AYB-994)	462	IPR001919	357..462	357-462
A0A0A0NBS9	unreviewed	CBM2 domain-containing protein	1343740	Streptomyces rapamycinicus (strain ATCC 29253 / DSM 41530 / NRRL 5491 / AYB-994)	371	IPR001919	267..371	267-371
A0A0A0QZL1	unreviewed	chitinase	1390	Bacillus amyloliquefaciens	687	IPR001919	586..687	586-687
A0A0A0QZL3	unreviewed	Chitinase	1423	Bacillus subtilis	217	IPR001919	115..217	115-217
A0A0A0R1Y7	unreviewed	chitinase	1396	Bacillus cereus	675	IPR001919	574..675	574-675
A0A0A0R779	unreviewed	chitinase	1396	Bacillus cereus	675	IPR001919	574..675	574-675
A0A0A1VBU5	unreviewed	Endoglucanase	1268622	Acidovorax sp. MR-S7	476	IPR001919	389..476	389-476
A0A0A2CX08	unreviewed	CBM2 domain-containing protein	1499502	Prochlorococcus sp. MIT 0701	517	IPR001919	1..113,399..511	1-113+399-511
A0A0A6UCZ0	unreviewed	Endoglucanase	1869	Actinoplanes utahensis	489	IPR001919	24..131	24-131
A0A0A6UDC6	unreviewed	Endoglucanase	1869	Actinoplanes utahensis	498	IPR001919	28..138	28-138
A0A0A6UGV2	unreviewed	Glucanase	1869	Actinoplanes utahensis	588	IPR001919	31..140	31-140
A0A0A6UHV2	unreviewed	CBM2 domain-containing protein	1869	Actinoplanes utahensis	434	IPR001919	325..434	325-434
A0A0A6UIB2	unreviewed	Beta-xylanase	1869	Actinoplanes utahensis	430	IPR001919	335..430	335-430
A0A0A6UJY8	unreviewed	CBM2 domain-containing protein	1869	Actinoplanes utahensis	371	IPR001919	262..371	262-371
A0A0A6UKM2	unreviewed	Beta-xylanase	1869	Actinoplanes utahensis	450	IPR001919	348..450	348-450
A0A0A6UKP4	unreviewed	Beta-xylanase	1869	Actinoplanes utahensis	450	IPR001919	350..450	350-450
A0A0A6UL38	unreviewed	Beta-xylanase	1869	Actinoplanes utahensis	453	IPR001919	360..453	360-453
A0A0A6ULI6	unreviewed	Alpha-L-arabinofuranosidase	1869	Actinoplanes utahensis	674	IPR001919	567..674	567-674
A0A0A6ULW7	unreviewed	Polysaccharide deacetylase	1869	Actinoplanes utahensis	329	IPR001919	237..329	237-329
A0A0A6UMT2	unreviewed	CBM2 domain-containing protein	1869	Actinoplanes utahensis	418	IPR001919	315..418	315-418
A0A0A6UN41	unreviewed	Endo-1,4-beta-xylanase	1869	Actinoplanes utahensis	334	IPR001919	243..334	243-334
A0A0A6UQ32	unreviewed	Endoglucanase	1869	Actinoplanes utahensis	454	IPR001919	350..454	350-454
A0A0A6URT0	unreviewed	CBM2 domain-containing protein	1869	Actinoplanes utahensis	965	IPR001919	24..134	24-134
A0A0A6URU8	unreviewed	CBM2 domain-containing protein	1869	Actinoplanes utahensis	432	IPR001919	28..138	28-138
A0A0A6UTT8	unreviewed	CBM2 domain-containing protein	1869	Actinoplanes utahensis	872	IPR001919	766..872	766-872
A0A0A6UTY1	unreviewed	CBM2 domain-containing protein	1869	Actinoplanes utahensis	350	IPR001919	20..129	20-129
A0A0A6UU58	unreviewed	CBM2 domain-containing protein	1869	Actinoplanes utahensis	230	IPR001919	122..230	122-230
A0A0A6X1B8	unreviewed	non-specific serine/threonine protein kinase	1869	Actinoplanes utahensis	617	IPR001919	437..525	437-525
A0A0A6X4T6	unreviewed	Endoglucanase	1869	Actinoplanes utahensis	646	IPR001919	545..646	545-646
A0A0A6X634	unreviewed	Endoglucanase	1869	Actinoplanes utahensis	767	IPR001919	659..767	659-767
A0A0A6XAP1	unreviewed	Beta-xylanase	1869	Actinoplanes utahensis	635	IPR001919	525..635	525-635
A0A0A6XF46	unreviewed	Endoglucanase	1869	Actinoplanes utahensis	442	IPR001919	339..442	339-442
A0A0A6XFC6	unreviewed	CBM2 domain-containing protein	1869	Actinoplanes utahensis	351	IPR001919	248..351	248-351
A0A0A7A809	unreviewed	Endoglucanase	483545	Thermobifida halotolerans	455	IPR001919	354..455	354-455
A0A0A7A855	unreviewed	Endoglucanase	665004	Thermobifida cellulosilytica TB100	439	IPR001919	338..439	338-439
A0A0A7FV50	unreviewed	GH18 domain-containing protein	1415775	Clostridium baratii str. Sullivan	737	IPR001919	502..603	502-603
A0A0A8KX85	unreviewed	Endoglucanase	45931	Pratylenchus vulnus	455	IPR001919	355..455	355-455
A0A0B1TZE6	unreviewed	CBM2 domain-containing protein	1562888	Desulfovibrio sp. TomC	658	IPR001919	21..128	21-128
A0A0B4CB39	unreviewed	Endoglucanase	162426	Microbacterium hominis	511	IPR001919	409..511	409-511
A0A0B5D7I2	unreviewed	Beta-xylanase	40318	Streptomyces nodosus	448	IPR001919	343..448	343-448
A0A0B5DFS3	unreviewed	Beta-xylanase	40318	Streptomyces nodosus	442	IPR001919	341..442	341-442
A0A0B5DGZ1	unreviewed	CBM2 domain-containing protein	40318	Streptomyces nodosus	379	IPR001919	270..379	270-379
A0A0B5DH58	unreviewed	chitinase	40318	Streptomyces nodosus	607	IPR001919	27..134	27-134
